,tar,trr,far,frr
0.79,0.04425988859619136,0.0182086911057934,0.9368376601178386,0.0006937601801765569
0.8,0.044269943091556234,0.01752498542098172,0.9375213658026503,0.0006837056848116793
0.81,0.04429005208228599,0.01689155221299443,0.9381547990106377,0.000663596694081924
0.8200000000000001,0.04431016107301575,0.016238010014277382,0.9388083412093547,0.0006434877033521687
0.8300000000000001,0.04431016107301575,0.015604576806290092,0.939441774417342,0.0006434877033521687
0.84,0.04432021556838062,0.015051579561221821,0.9399947716624103,0.0006334332079872911
0.85,0.0443302700637455,0.014538800297613062,0.940507550926019,0.0006233787126224135
0.86,0.044340324559110376,0.013945585071085282,0.9411007661525468,0.0006133242172575358
0.87,0.04435037905447525,0.013422751312111646,0.9416235999115204,0.0006032697218926582
0.88,0.04438054254056989,0.01284964507631362,0.9421967061473184,0.0005731062357980253
0.89,0.044390597035934766,0.01229664783124535,0.9427497033923867,0.0005630517404331477
0.9,0.04440065153129964,0.011803977558366346,0.9432423736652658,0.00055299724506827
0.91,0.04440065153129964,0.011281143799392709,0.9437652074242394,0.00055299724506827
0.92,0.044440869512759155,0.010808582517243459,0.9442377687063886,0.0005127792636087595
0.93,0.044440869512759155,0.010466729674837619,0.9445796215487945,0.0005127792636087595
0.9400000000000001,0.04446097850348891,0.010074604355607392,0.9449717468680247,0.0004926702728790042
0.9500000000000001,0.04448108749421867,0.00974280600856643,0.9453035452150657,0.00047256128214924893
0.96,0.04450119648494842,0.009511552615174244,0.9455347986084578,0.0004524522914194937
0.97,0.0445112509803133,0.009049045828389873,0.9459973053952422,0.000442397796054616
0.98,0.0445112509803133,0.00872730197671379,0.9463190492469183,0.000442397796054616
0.99,0.044521305475678175,0.008395503629672826,0.9466508475939592,0.00043234330068973837
1.0,0.04453135997104305,0.008134086750186008,0.9469122644734461,0.0004222888053248607
